"﻿AppName","ApplicationType","BusinessCatalogName","BusinessGroupName","BusinessGroupDescription","BusinessRoleName","BusinessRoleDescription","BSPName"
"Credit Memo in Year","GUI","SAP_SFIN_BC_AA_DOC_PROC","SAP_SFIN_BCG_AA_DOC_PROC","Operational Processing","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Post Post-Capitalization","GUI","SAP_SFIN_BC_AA_DOC_PROC","SAP_SFIN_BCG_AA_DOC_PROC","Operational Processing","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Asset Transfer intercompany","GUI","SAP_SFIN_BC_AA_DOC_PROC","SAP_SFIN_BCG_AA_DOC_PROC","Operational Processing","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Post Transfer - Within Company Code","GUI","SAP_SFIN_BC_AA_DOC_PROC","SAP_SFIN_BCG_AA_DOC_PROC","Operational Processing","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Post Acquisition - With Automatic Offsetting Entry","GUI","SAP_SFIN_BC_AA_DOC_PROC","SAP_SFIN_BCG_AA_DOC_PROC","Operational Processing","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Acquisition from Affiliated Company","GUI","SAP_SFIN_BC_AA_DOC_PROC","SAP_SFIN_BCG_AA_DOC_PROC","Operational Processing","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Write-ups","GUI","SAP_SFIN_BC_AA_DOC_PROC","SAP_SFIN_BCG_AA_DOC_PROC","Operational Processing","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Verify Data Flow","GUI","SAP_SFIN_BC_GL_DOC_PROC","SAP_SFIN_BCG_GL_DOC_PROC","Operational Processing","SAP_BR_GL_ACCOUNTANT","General Ledger Accountant",""
"Define Distribution Rules - For Asset under Construction","GUI","SAP_SFIN_BC_AA_CONSTR","SAP_SFIN_BCG_AA_CONSTR","Asset Under Construction","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Settle Asset under Construction","GUI","SAP_SFIN_BC_AA_CONSTR","SAP_SFIN_BCG_AA_CONSTR","Asset Under Construction","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Reverse Settlement of AuC","GUI","SAP_SFIN_BC_AA_CONSTR","SAP_SFIN_BCG_AA_CONSTR","Asset Under Construction","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Display Asset Classes per Chart of Depreciation","GUI","SAP_SFIN_BC_AA_CONFIG","SAP_SFIN_BCG_AA_CONFIG","Configuration","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Upload Inbound Files - China","FPM/WebDynpro","SAP_FIN_BC_AR_OPER_PROC_CN","SAP_FIN_BCG_AR_OPER_PROC_CN","Accounts Receivable - Operational Processing - China","SAP_BR_AR_ACCOUNTANT_CN","Accounts Receivable Accountant for China",""
"Create Cancellation Outbound Files - China","FPM/WebDynpro","SAP_FIN_BC_AR_OPER_PROC_CN","SAP_FIN_BCG_AR_OPER_PROC_CN","Accounts Receivable - Operational Processing - China","SAP_BR_AR_ACCOUNTANT_CN","Accounts Receivable Accountant for China",""
"Create Outbound Files - China","FPM/WebDynpro","SAP_FIN_BC_AR_OPER_PROC_CN","SAP_FIN_BCG_AR_OPER_PROC_CN","Accounts Receivable - Operational Processing - China","SAP_BR_AR_ACCOUNTANT_CN","Accounts Receivable Accountant for China",""
"Customize Outbound Application - China","FPM/WebDynpro","SAP_FIN_BC_AR_OPER_PROC_CN","SAP_FIN_BCG_AR_OPER_PROC_CN","Accounts Receivable - Operational Processing - China","SAP_BR_AR_ACCOUNTANT_CN","Accounts Receivable Accountant for China",""
"Search By Source Document - China","FPM/WebDynpro","SAP_FIN_BC_AR_OPER_PROC_CN","SAP_FIN_BCG_AR_OPER_PROC_CN","Accounts Receivable - Operational Processing - China","SAP_BR_AR_ACCOUNTANT_CN","Accounts Receivable Accountant for China",""
"Search By VAT Invoice - China","FPM/WebDynpro","SAP_FIN_BC_AR_OPER_PROC_CN","SAP_FIN_BCG_AR_OPER_PROC_CN","Accounts Receivable - Operational Processing - China","SAP_BR_AR_ACCOUNTANT_CN","Accounts Receivable Accountant for China",""
"Asset Transaction List","GUI","SAP_SFIN_BC_AA_GEN_REP","SAP_SFIN_BCG_AA_GEN_REP","General Reporting","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Depreciation Reporting","GUI","SAP_SFIN_BC_AA_GEN_REP","SAP_SFIN_BCG_AA_GEN_REP","General Reporting","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Create Asset Master Record","GUI","SAP_SFIN_BC_AA_MASTER_DATA","SAP_SFIN_BCG_AA_MASTDATA","Master Data","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Change Asset","GUI","SAP_SFIN_BC_AA_MASTER_DATA","SAP_SFIN_BCG_AA_MASTDATA","Master Data","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Display Asset","GUI","SAP_SFIN_BC_AA_MASTER_DATA","SAP_SFIN_BCG_AA_MASTDATA","Master Data","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Block Assets","GUI","SAP_SFIN_BC_AA_MASTER_DATA","SAP_SFIN_BCG_AA_MASTDATA","Master Data","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Delete Asset","GUI","SAP_SFIN_BC_AA_MASTER_DATA","SAP_SFIN_BCG_AA_MASTDATA","Master Data","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Create Subnumber","GUI","SAP_SFIN_BC_AA_MASTER_DATA","SAP_SFIN_BCG_AA_MASTDATA","Master Data","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Asset Values","GUI","SAP_SFIN_BC_AA_GEN_REP","SAP_SFIN_BCG_AA_GEN_REP","General Reporting","SAP_BR_AA_ACCOUNTANT","Asset Accountant",""
"Monitor Batches and Payments","GUI","SAP_SFIN_BC_BANK_OPERATION","SAP_SFIN_BCG_BANK_OPERATION","Bank Communication - Operational Processing","SAP_BR_AP_ACCOUNTANT","Accounts Payable Accountant",""
"Transfer Time Recording to CO, Process Unposted Time Confirmations","GUI","SAP_SFIN_BC_CO_CONFIG","SAP_SFIN_BCG_CO_CONFIG","Controlling - Configuration","SAP_BR_CONTROLLER","Controller",""
"Edit Original Budget - Projects","GUI","SAP_SFIN_BC_CO_BUDGET_PS","SAP_SFIN_BCG_CO_BUDGET","Controlling - Budgeting","SAP_BR_CONTROLLER","Controller",""
"Display Original Budget - Projects","GUI","SAP_SFIN_BC_CO_BUDGET_PS","SAP_SFIN_BCG_CO_BUDGET","Controlling - Budgeting","SAP_BR_CONTROLLER","Controller",""
"Edit Budget Release - Projects","GUI","SAP_SFIN_BC_CO_BUDGET_PS","SAP_SFIN_BCG_CO_BUDGET","Controlling - Budgeting","SAP_BR_CONTROLLER","Controller",""
"Display Project Budget Release","GUI","SAP_SFIN_BC_CO_BUDGET_PS","SAP_SFIN_BCG_CO_BUDGET","Controlling - Budgeting","SAP_BR_CONTROLLER","Controller",""
"Transfer Project Budget - Projects","GUI","SAP_SFIN_BC_CO_BUDGET_PS","SAP_SFIN_BCG_CO_BUDGET","Controlling - Budgeting","SAP_BR_CONTROLLER","Controller",""
"Post Budget Return from Project - Projects","GUI","SAP_SFIN_BC_CO_BUDGET_PS","SAP_SFIN_BCG_CO_BUDGET","Controlling - Budgeting","SAP_BR_CONTROLLER","Controller",""
"Post Budget Supplement to Project - Projects","GUI","SAP_SFIN_BC_CO_BUDGET_PS","SAP_SFIN_BCG_CO_BUDGET","Controlling - Budgeting","SAP_BR_CONTROLLER","Controller",""
"Edit Budget Supplement - Projects","GUI","SAP_SFIN_BC_CO_BUDGET_PS","SAP_SFIN_BCG_CO_BUDGET","Controlling - Budgeting","SAP_BR_CONTROLLER","Controller",""
"Edit Budget Return - Projects","GUI","SAP_SFIN_BC_CO_BUDGET_PS","SAP_SFIN_BCG_CO_BUDGET","Controlling - Budgeting","SAP_BR_CONTROLLER","Controller",""
"Run Actual Settlement - Projects","GUI","SAP_SFIN_BC_CO_PE_PS_SETT","SAP_SFIN_BCG_CO_PER_END","Controlling - Period End Processing","SAP_BR_CONTROLLER","Controller",""
"Run Actual Settlement - Projects - Collective (Optimized)","GUI","SAP_SFIN_BC_CO_PE_INV_SETT","SAP_SFIN_BCG_CO_PER_END","Controlling - Period End Processing","SAP_BR_CONTROLLER","Controller",""
"Run Actual Settlement - Projects - Collective (Optimized)","GUI","SAP_SFIN_BC_CO_PE_PS_SETT","SAP_SFIN_BCG_CO_PER_END","Controlling - Period End Processing","SAP_BR_CONTROLLER","Controller",""
"Generate Settlement Rules - Projects, Generate Project Settlement Rules Collectively","GUI","SAP_SFIN_BC_CO_PE_PS_SETT","SAP_SFIN_BCG_CO_PER_END","Controlling - Period End Processing","SAP_BR_CONTROLLER","Controller",""
"Create Material Cost Estimates","GUI","SAP_SFIN_BC_IA_MCE","SAP_SFIN_BCG_IA_MCE,SAP_SFIN_BCG_CO_VAL","Material Cost Estimates - Cost Estimations,Controlling - Valuation","SAP_BR_CONTROLLER, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Controller, Inventory Accountant, Inventory Accountant",""
"Create Material Cost Estimates","GUI","SAP_SFIN_BC_CO_VAL_INV","SAP_SFIN_BCG_IA_MCE,SAP_SFIN_BCG_CO_VAL","Material Cost Estimates - Cost Estimations,Controlling - Valuation","SAP_BR_CONTROLLER, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Controller, Inventory Accountant, Inventory Accountant",""
"Display Material Cost Estimates","GUI","SAP_SFIN_BC_IA_MCE","SAP_SFIN_BCG_IA_MCE,SAP_SFIN_BCG_CO_VAL","Material Cost Estimates - Cost Estimations,Controlling - Valuation","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER","Inventory Accountant, Inventory Accountant, Controller",""
"Display Material Cost Estimates","GUI","SAP_SFIN_BC_CO_VAL_INV","SAP_SFIN_BCG_IA_MCE,SAP_SFIN_BCG_CO_VAL","Material Cost Estimates - Cost Estimations,Controlling - Valuation","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER","Inventory Accountant, Inventory Accountant, Controller",""
"Release Material Cost Estimates","GUI","SAP_SFIN_BC_CO_VAL_INV_REL","SAP_SFIN_BCG_IA_MCE,SAP_SFIN_BCG_CO_VAL","Material Cost Estimates - Cost Estimations,Controlling - Valuation","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Controller, Inventory Accountant",""
"Release Material Cost Estimates","GUI","SAP_SFIN_BC_IA_MCE","SAP_SFIN_BCG_IA_MCE,SAP_SFIN_BCG_CO_VAL","Material Cost Estimates - Cost Estimations,Controlling - Valuation","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Controller, Inventory Accountant",""
"Edit Costing Runs","GUI","SAP_SFIN_BC_IA_MCE_PER_ACT","SAP_SFIN_BCG_CO_VAL,SAP_SFIN_BCG_IA_MCE_PER_ACT","Controlling - Valuation,Material Cost Estimates - Periodic Activities","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER","Inventory Accountant, Inventory Accountant, Controller",""
"Edit Costing Runs","GUI","SAP_SFIN_BC_CO_VAL_INV","SAP_SFIN_BCG_CO_VAL,SAP_SFIN_BCG_IA_MCE_PER_ACT","Controlling - Valuation,Material Cost Estimates - Periodic Activities","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER","Inventory Accountant, Inventory Accountant, Controller",""
"Delete Costing Runs","GUI","SAP_SFIN_BC_IA_MCE_PER_ACT","SAP_SFIN_BCG_IA_MCE_PER_ACT,SAP_SFIN_BCG_CO_VAL","Material Cost Estimates - Periodic Activities,Controlling - Valuation","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Controller, Inventory Accountant",""
"Delete Costing Runs","GUI","SAP_SFIN_BC_CO_VAL_INV","SAP_SFIN_BCG_IA_MCE_PER_ACT,SAP_SFIN_BCG_CO_VAL","Material Cost Estimates - Periodic Activities,Controlling - Valuation","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Controller, Inventory Accountant",""
"Cost Sales Orders - Single","GUI","SAP_SFIN_BC_CO_VAL_INV","SAP_SFIN_BCG_IA_SCE","Sales Order Cost Estimates - Cost Estimations","SAP_BR_CONTROLLER, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Controller, Inventory Accountant, Inventory Accountant",""
"Cost Sales Orders - Single","GUI","SAP_SFIN_BC_IA_SCE","SAP_SFIN_BCG_IA_SCE","Sales Order Cost Estimates - Cost Estimations","SAP_BR_CONTROLLER, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Controller, Inventory Accountant, Inventory Accountant",""
"Display Sales Order Cost Estimates","GUI","SAP_SFIN_BC_IA_SCE","SAP_SFIN_BCG_IA_SCE","Sales Order Cost Estimates - Cost Estimations","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Cost Sales Orders - Multi","GUI","SAP_SFIN_BC_IA_SCE","SAP_SFIN_BCG_IA_SCE","Sales Order Cost Estimates - Cost Estimations","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Create Additive Costs","GUI","SAP_SFIN_BC_IA_MCE","SAP_SFIN_BCG_IA_MCE","Material Cost Estimates - Cost Estimations","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Change Additive Costs","GUI","SAP_SFIN_BC_IA_MCE","SAP_SFIN_BCG_IA_MCE","Material Cost Estimates - Cost Estimations","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Display Additive Costs","GUI","SAP_SFIN_BC_IA_MCE","SAP_SFIN_BCG_IA_MCE","Material Cost Estimates - Cost Estimations","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Comparison of Itemizations","GUI","SAP_SFIN_BC_IA_MCE_REP","SAP_SFIN_BCG_IA_MCE_REP","Material Cost Estimates - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Cost Components - Materials","GUI","SAP_SFIN_BC_IA_MCE_REP","SAP_SFIN_BCG_CO_VAL,SAP_SFIN_BCG_IA_MCE_REP","Controlling - Valuation,Material Cost Estimates - Reporting","SAP_BR_CONTROLLER, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Controller, Inventory Accountant, Inventory Accountant",""
"Cost Components - Materials","GUI","SAP_SFIN_BC_CO_VAL_INV","SAP_SFIN_BCG_CO_VAL,SAP_SFIN_BCG_IA_MCE_REP","Controlling - Valuation,Material Cost Estimates - Reporting","SAP_BR_CONTROLLER, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Controller, Inventory Accountant, Inventory Accountant",""
"Material Cost Estimates","GUI","SAP_SFIN_BC_IA_MCE","SAP_SFIN_BCG_IA_MCE","Material Cost Estimates - Cost Estimations","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Itemization - Materials","GUI","SAP_SFIN_BC_IA_MCE_REP","SAP_SFIN_BCG_IA_MCE_REP,SAP_SFIN_BCG_CO_VAL","Material Cost Estimates - Reporting,Controlling - Valuation","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER","Inventory Accountant, Inventory Accountant, Controller",""
"Itemization - Materials","GUI","SAP_SFIN_BC_CO_VAL_INV","SAP_SFIN_BCG_IA_MCE_REP,SAP_SFIN_BCG_CO_VAL","Material Cost Estimates - Reporting,Controlling - Valuation","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER","Inventory Accountant, Inventory Accountant, Controller",""
"Itemization - Sales Orders","GUI","SAP_SFIN_BC_IA_SCE_REP","SAP_SFIN_BCG_CO_VAL,SAP_SFIN_BCG_IA_SCE_REP","Controlling - Valuation,Sales Order Cost Estimates - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER","Inventory Accountant, Inventory Accountant, Controller",""
"Itemization - Sales Orders","GUI","SAP_SFIN_BC_CO_VAL_INV","SAP_SFIN_BCG_CO_VAL,SAP_SFIN_BCG_IA_SCE_REP","Controlling - Valuation,Sales Order Cost Estimates - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER","Inventory Accountant, Inventory Accountant, Controller",""
"Costed Multilevel BOM - Materials","GUI","SAP_SFIN_BC_IA_MCE_REP","SAP_SFIN_BCG_CO_VAL,SAP_SFIN_BCG_IA_MCE_REP","Controlling - Valuation,Material Cost Estimates - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER","Inventory Accountant, Inventory Accountant, Controller",""
"Costed Multilevel BOM - Materials","GUI","SAP_SFIN_BC_CO_VAL_INV","SAP_SFIN_BCG_CO_VAL,SAP_SFIN_BCG_IA_MCE_REP","Controlling - Valuation,Material Cost Estimates - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER","Inventory Accountant, Inventory Accountant, Controller",""
"Costed Multilevel BOM - Sales Orders","GUI","SAP_SFIN_BC_IA_SCE_REP","SAP_SFIN_BCG_CO_VAL,SAP_SFIN_BCG_IA_SCE_REP","Controlling - Valuation,Sales Order Cost Estimates - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Controller, Inventory Accountant",""
"Costed Multilevel BOM - Sales Orders","GUI","SAP_SFIN_BC_CO_VAL_INV","SAP_SFIN_BCG_CO_VAL,SAP_SFIN_BCG_IA_SCE_REP","Controlling - Valuation,Sales Order Cost Estimates - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Controller, Inventory Accountant",""
"Partner Cost Components","GUI","SAP_SFIN_BC_IA_MCE_REP","SAP_SFIN_BCG_IA_MCE_REP","Material Cost Estimates - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Cost Components - Sales Orders","GUI","SAP_SFIN_BC_IA_SCE_REP","SAP_SFIN_BCG_IA_SCE_REP","Sales Order Cost Estimates - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Edit Procurement Alternatives","GUI","SAP_SFIN_BC_IA_MCE_MIX_CST","SAP_SFIN_BCG_IA_MCE_MIX_CST","Material Cost Estimates - Mixed Costing","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Change Mixing Ratios","GUI","SAP_SFIN_BC_IA_MCE_MIX_CST","SAP_SFIN_BCG_IA_MCE_MIX_CST","Material Cost Estimates - Mixed Costing","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Display Mixing Ratios","GUI","SAP_SFIN_BC_IA_MCE_MIX_CST","SAP_SFIN_BCG_IA_MCE_MIX_CST","Material Cost Estimates - Mixed Costing","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Display Uncosted Materials","GUI","SAP_SFIN_BC_CO_VAL_INV","SAP_SFIN_BCG_CO_VAL,SAP_SFIN_BCG_IA_MCE","Controlling - Valuation,Material Cost Estimates - Cost Estimations","SAP_BR_CONTROLLER, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Controller, Inventory Accountant, Inventory Accountant",""
"Display Uncosted Materials","GUI","SAP_SFIN_BC_IA_MCE","SAP_SFIN_BCG_CO_VAL,SAP_SFIN_BCG_IA_MCE","Controlling - Valuation,Material Cost Estimates - Cost Estimations","SAP_BR_CONTROLLER, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Controller, Inventory Accountant, Inventory Accountant",""
"Display Uncosted Sales Order Items","GUI","SAP_SFIN_BC_IA_SCE","SAP_SFIN_BCG_IA_SCE","Sales Order Cost Estimates - Cost Estimations","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Check Costing Variants","GUI","SAP_SFIN_BC_IA_MCE_SET","SAP_SFIN_BCG_IA_MCE_SET","Material Cost Estimates - Settings","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Material Price Analysis","GUI","SAP_SFIN_BC_CO_REP_INV_MAT","SAP_SFIN_BCG_IA_AC_REP,SAP_SFIN_BCG_CO_REPORTS","Actual Costing - Reporting,Controlling - Reporting","SAP_BR_CONTROLLER, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Controller, Inventory Accountant, Inventory Accountant",""
"Material Price Analysis","GUI","SAP_SFIN_BC_IA_AC_REP","SAP_SFIN_BCG_IA_AC_REP,SAP_SFIN_BCG_CO_REPORTS","Actual Costing - Reporting,Controlling - Reporting","SAP_BR_CONTROLLER, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Controller, Inventory Accountant, Inventory Accountant",""
"Activity Types Value Flow","GUI","SAP_SFIN_BC_IA_AC_REP","SAP_SFIN_BCG_IA_AC_REP","Actual Costing - Reporting","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT","Inventory Accountant, Inventory Accountant",""
"Edit Selection Lists","GUI","SAP_SFIN_BC_IA_MCE_PER_ACT","SAP_SFIN_BCG_IA_MCE_PER_ACT,SAP_SFIN_BCG_CO_VAL","Material Cost Estimates - Periodic Activities,Controlling - Valuation","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER","Inventory Accountant, Inventory Accountant, Controller",""
"Edit Selection Lists","GUI","SAP_SFIN_BC_CO_VAL_INV","SAP_SFIN_BCG_IA_MCE_PER_ACT,SAP_SFIN_BCG_CO_VAL","Material Cost Estimates - Periodic Activities,Controlling - Valuation","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER","Inventory Accountant, Inventory Accountant, Controller",""
"Create Selection Lists","GUI","SAP_SFIN_BC_IA_MCE_PER_ACT","SAP_SFIN_BCG_IA_MCE_PER_ACT,SAP_SFIN_BCG_CO_VAL","Material Cost Estimates - Periodic Activities,Controlling - Valuation","SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_INVENTORY_ACCOUNTANT, SAP_BR_CONTROLLER","Inventory Accountant, Inventory Accountant, Controller",""
