"AppName","ApplicationType","BusinessCatalogName","BusinessGroupName","BusinessGroupDescription","BusinessRoleName","BusinessRoleDescription","LeadingTransactionCodes"
"Display Migrated Transactions for Deletion - Japan","GUI","SAP_FIN_BC_AA_GEN_REP_JP","SAP_FIN_BCG_AA_GEN_REP_JP","Asset Accounting - General Reporting - Japan","SAP_BR_AA_ACCOUNTANT","Asset Accountant","/KJRTAX01/ATMIGALVD"
"Delete Migrated Asset Transaction - Japan","GUI","SAP_FIN_BC_AA_GEN_REP_JP","SAP_FIN_BCG_AA_GEN_REP_JP","Asset Accounting - General Reporting - Japan","SAP_BR_AA_ACCOUNTANT","Asset Accountant","/KJRTAX01/ATMIGDEL"
"Add Asset Transaction as Migration - Japan","GUI","SAP_FIN_BC_AA_GEN_REP_JP","SAP_FIN_BCG_AA_GEN_REP_JP","Asset Accounting - General Reporting - Japan","SAP_BR_AA_ACCOUNTANT","Asset Accountant","/KJRTAX01/ATMIGINS"
"Migrate Additional Depreciation Codes - Japan","GUI","","","","","","/KJRTAX01/MIG_PRDCD"
"Delete Last Years Migrated Asset Data - Japan","GUI","SAP_FIN_BC_AA_GEN_REP_JP","SAP_FIN_BCG_AA_GEN_REP_JP","Asset Accounting - General Reporting - Japan","SAP_BR_AA_ACCOUNTANT","Asset Accountant","/KJRTAX01/PDEL"
"Migrate Last Years Asset Data - Japan","GUI","SAP_FIN_BC_AA_GEN_REP_JP","SAP_FIN_BCG_AA_GEN_REP_JP","Asset Accounting - General Reporting - Japan","SAP_BR_AA_ACCOUNTANT","Asset Accountant","/KJRTAX01/PINS"
"Migrate Last Years Asset Data - XML - Japan","GUI","SAP_FIN_BC_AA_GEN_REP_JP","SAP_FIN_BCG_AA_GEN_REP_JP","Asset Accounting - General Reporting - Japan","SAP_BR_AA_ACCOUNTANT","Asset Accountant","/KJRTAX01/PUPLOAD"
"Migrate Net Assets Data - Japan","GUI","","","","","","/KJRTAX01/RINS"
"Balancing Item Maintenance","GUI","","","","","","/PLMB/RCA_BALITM"
"Maintain Number Range","GUI","","","","","","/PLMI/ECR"
"Display Compliance Check Results","FPM/WebDynpro","","","","","","/PLMU/WDA_CCK_RESULT_DISP_OIF (/PLMU/WDA_CCK_RESULT_DSP_OIF_CFG)"
"Display Engineering Record, Create Engineering Record, Change Engineering Record","FPM/WebDynpro","SAP_PLM_BC_ER","","","SAP_BR_BOM_ENGINEER","BOM Engineer","/PLMU/WDA_ECR_APP_OIF (/PLMU/WDA_ECR_APP_OIF_CFG)"
"Edit Label Set, Display Label Set, Create Label Set","FPM/WebDynpro","SAP_PLM_BC_LABELSET_MAINT","SAP_PLM_BCG_LABELSET","Label Sets","SAP_BR_RECIPE_DEVELOPER","Recipe Developer","/PLMU/WDA_LBL_OIF (/PLMU/WDA_LBL_OIF_CFG)"
"Display Building Block, Create Building Block, Change Building Block","FPM/WebDynpro","","","","","","/PLMU/WDA_RCP_OIF (/PLMU/WDA_RCP_BB_OIF_CFG)"
"Edit Recipe, Display Recipe, Create Recipe","FPM/WebDynpro","SAP_PLM_BC_RECIPE_MAINT","SAP_PLM_BCG_RECIPE","Recipes","SAP_BR_RECIPE_DEVELOPER","Recipe Developer","/PLMU/WDA_RCP_OIF (/PLMU/WDA_RCP_OIF_CFG)"
"Fast Constraint Maintenance","FPM/WebDynpro","","","","","","/PLMU/WDA_SPC_FCM_OIF (/PLMU/WDA_SPC_FCM_OIF_CFG)"
"Edit Specification, Display Specification, Create Specification","FPM/WebDynpro","SAP_PLM_BC_SPC_MAINT","SAP_PLM_BCG_SPECIFICATION","Specifications","SAP_BR_RECIPE_DEVELOPER","Recipe Developer","/PLMU/WDA_SPC_OIF (/PLMU/WDA_SPC_OIF_CFG)"
"Production Planning Run","GUI","","","","","","/SAPAPO/CDPSB0"
"Change Production Data Structures","GUI","","","","","","/SAPAPO/CURTO_EDIT"
"Display Production Data Structures","GUI","","","","","","/SAPAPO/CURTO_SIMU"
"Maintain Product","GUI","","","","","","/SAPAPO/MAT1"
"Product Overview","GUI","","","","","","/SAPAPO/POV1"
"Production Confirmation Entry","GUI","","","","","","/SAPAPO/PPC1"
"Display Confirmation","GUI","","","","","","/SAPAPO/PPC2"
"Batch Conversion of Planned Orders to Process Orders","GUI","","","","","","/SAPAPO/PROC_ORD_CNV"
"Batch Conversion of Planned Orders to Production Orders","GUI","","","","","","/SAPAPO/PROD_ORD_CNV"
"Manage Resources","GUI","SAP_SCM_BC_CAPA_PLAN","","","SAP_BR_PRODN_PLNR","Production Planner","/SAPAPO/RES01"
"Resource Planning Table","GUI","SAP_SCM_BC_CAPA_PLAN","","","SAP_BR_PRODN_PLNR","Production Planner","/SAPAPO/RPT"
"Requirements View","GUI","","","","","","/SAPAPO/RRP1"
"Order View","GUI","","","","","","/SAPAPO/RRP2"
"Product View","GUI","","","","","","/SAPAPO/RRP3"
"Receipts view","GUI","","","","","","/SAPAPO/RRP4"
"Create Order","GUI","","","","","","/SAPAPO/RRP5"
"Mass Convert or Transfer Orders","GUI","","","","","","/SAPAPO/RRP7"
"Log for Last Planning Run","GUI","","","","","","/SAPAPO/RRPEVAL"
"PP/DS Application Logs","GUI","","","","","","/SAPAPO/RRPLOG1"
"Composite of Service Master Records","GUI","","","","","","/SAPBOQ/AC0X"
"Create Service Entry Sheet","GUI","","","","","","/SAPBOQ/SES1"
"Change Customer Service Entry Sheet","GUI","","","","","","/SAPBOQ/SES2"
"Display Customer Service Entry Sheet","GUI","","","","","","/SAPBOQ/SES3"
"Create Tax Ledger - Bulgaria","GUI","","","","","","/SAPCE/FKBG_VAT"
"Export Business Partner Transaction Data - Greece","GUI","","","","","","/SAPCE/FKGR_MYF_EXP"
"Display Business Partner Ledger Data - Poland","GUI","","","","","","/SAPCE/FKPL_BPLEDG"
"Display Trial Balance - Poland","GUI","","","","","","/SAPCE/FKPL_TRIBAL"
"Create Tax Ledger - Poland","GUI","","","","","","/SAPCE/FKPL_VATREG"
"Create Cash Ledger - Romania","GUI","","","","","","/SAPCE/FKRO_CLRE"
"Create Sales Ledger - Romania","GUI","","","","","","/SAPCE/FKRO_SL"
"Create Tax Ledger - Romania","GUI","","","","","","/SAPCE/FKRO_VIES394"
"Create Cash Ledger - Russia","GUI","","","","","","/SAPCE/FKRU_FPCJ_CL"
"Execute Cash Registration Ledger - Russia","GUI","","","","","","/SAPCE/FKRU_FPCJ_CLR"
"Execute Cash Ledger - Slovenia","GUI","","","","","","/SAPCE/FKSI_CASHINV"
"Update Payment Flag - Slovenia","GUI","","","","","","/SAPCE/FKSI_INVUPD"
"Create Tax Ledger - Slovenia","GUI","","","","","","/SAPCE/FKSI_VATREP"
"Create Tax Ledger for Month - Slovakia","GUI","","","","","","/SAPCE/FKSK_VATLED"
"Create Tax Ledger for Quarter - Slovakia","GUI","","","","","","/SAPCE/FKSK_VATLEDQ"
"Maintain Tax Invoices - Ukraine","GUI","","","","","","/SAPCE/FKTAXVOUCHER"
"Change Send Status of Tax Invoices - Ukraine","GUI","","","","","","/SAPCE/FKUA_EXPIRE"
"Import Tax Invoice Confirmation - Ukraine","GUI","","","","","","/SAPCE/FKUA_SCF"
"Create Tax Invoices - Ukraine","GUI","","","","","","/SAPCE/FKUA_TVCR"
"Print Tax Invoices - Ukraine","GUI","","","","","","/SAPCE/FKUA_TVPR"
"Export Tax Invoices to XML - Ukraine","GUI","","","","","","/SAPCE/FKUA_TXINVXML"
"Create Postal Order Type AV - Czech Republic","GUI","","","","","","/SAPCE/FK_CZ_AVTVOR"
"Create Postal Order B Payment Order - Czech Republic","GUI","","","","","","/SAPCE/FK_CZ_BPRIKAZ"
"Create Postal Order B - Czech Republic","GUI","","","","","","/SAPCE/FK_CZ_BTVOR"
"Create AMEX File Collection - Czech Republic","GUI","","","","","","/SAPCE/FK_CZ_EAMEXTV"
"Create Payment Card Charging Order - Czech Republic","GUI","","","","","","/SAPCE/FK_CZ_EVISATV"
"Create Postal Order A Payment Lot - Czech Republic","GUI","","","","","","/SAPCE/FK_CZ_IMAV"
"Create Postal Order B Payment Return - Czech Republic","GUI","","","","","","/SAPCE/FK_CZ_IMB"
"Create  SIPO Payment Lot - Czech Republic","GUI","","","","","","/SAPCE/FK_CZ_IMSIPO"
"Create Budget Account Payment Lot - Czech Republic","GUI","","","","","","/SAPCE/FK_CZ_IMSPORO"
"Create Payment Card Payment Lot - Czech Republic","GUI","","","","","","/SAPCE/FK_CZ_IMVISA"
"Move Payment Data to FI - Czech Republic","GUI","","","","","","/SAPCE/FK_CZ_MOVE"
"Create SIPO - Czech Republic","GUI","","","","","","/SAPCE/FK_CZ_SIPOTV"
"Create Budget Account Payment Files - Czech Republic","GUI","","","","","","/SAPCE/FK_CZ_SPOROTV"
"Create Payment Card Collection - Czech Republic","GUI","","","","","","/SAPCE/FK_CZ_VISATV"
"Create Payment Order Collection - Slovakia","GUI","","","","","","/SAPCE/FK_SK_EVYBER"
"Process SIPO Payment Lot - Slovakia","GUI","","","","","","/SAPCE/FK_SK_IMSIPO"
"Create PPP U Payment Lot - Slovakia","GUI","","","","","","/SAPCE/FK_SK_IMUI"
"Move Payment Data to FI - Slovakia","GUI","","","","","","/SAPCE/FK_SK_MOVE"
"Maintain SIPO - Slovakia","GUI","","","","","","/SAPCE/FK_SK_SIPO134"
"Add SIPO Link Number - Slovakia","GUI","","","","","","/SAPCE/FK_SK_SIPO2"
"Create SIPO - Slovakia","GUI","","","","","","/SAPCE/FK_SK_SIPOTV"
"Mass Bill Creation for BB - Hungary","GUI","","","","","","/SAPCE/IUBBHU04"
"Maintain Quantity for Partial Billing - Hungary","GUI","","","","","","/SAPCE/IUBBHUQ2"
"Display Quantity for Partial Billing - Hungary","GUI","","","","","","/SAPCE/IUBBHUQ3"
"Mass Change of Benefits - Russia, Mass Change of Benefits - Ukraine","GUI","","","","","","/SAPCE/IUBENMASS"
"Post Granted Benefits - Russia, Post Granted Benefits - Ukraine","GUI","","","","","","/SAPCE/IUBENPOST"
"Change Benefits Eligibility - Russia, Change Benefits Eligibility - Ukraine","GUI","","","","","","/SAPCE/IUEBEN2"
"Display Benefits Eligibility - Ukraine, Display Benefits Eligibility - Russia","GUI","","","","","","/SAPCE/IUEBEN3"
"Subsidy Maintenance","GUI","","","","","","/SAPCE/IUESUB"
"Create Down Payment Bill Doc - Hungary","GUI","","","","","","/SAPCE/IUHU_EL05"
"Mass Down Payment Bill Doc - Hungary","GUI","","","","","","/SAPCE/IUHU_EL05M"
"Action Codes for Devices - Hungary","GUI","","","","","","/SAPCE/IUHU_LEAI"
"Reverse Billing Document - Hungary","GUI","","","","","","/SAPCE/IUHU_REV"
"Mass Reverse Billing Doc - Hungary","GUI","","","","","","/SAPCE/IUHU_REVMS"
"Manual Billing for Penalty - Hungary","GUI","","","","","","/SAPCE/IUHU_SZKM"
"Print Payment Request Form - Russia","GUI","","","","","","/SAPCE/IURUADVPAY"
"Print Incasso Orders Register - Russia","GUI","","","","","","/SAPCE/IURUINCORREG"
"Create Form 26-zk - Russia","GUI","","","","","","/SAPCE/IURU_26_ZKH"
"Create Form 2-reg - Russia","GUI","","","","","","/SAPCE/IURU_2_REG"
"Report Accounts Receivables - Russia","GUI","","","","","","/SAPCE/IURU_AR"
"Create Energy Consumption Sheet - Russia","GUI","","","","","","/SAPCE/IURU_ECS"
"Create Mass Energy Consumption - Russia","GUI","","","","","","/SAPCE/IURU_ECS_MASS"
"Upload KLADR Database - Russia","GUI","","","","","","/SAPCE/IURU_KLADR"
"Seal Management","GUI","","","","","","/SAPCE/IUSEALS"
"Purchase Seal Batch Import","GUI","","","","","","/SAPCE/IUSEALS1"
"Display Seals Statistics","GUI","","","","","","/SAPCE/IUSEALS2"
"Import Mass Subsidy from File","GUI","","","","","","/SAPCE/IUSIMPORT"
"Display Mass Subsidy Logs","GUI","","","","","","/SAPCE/IUSLOG"
"Import Social Benefits","GUI","","","","","","/SAPCE/IUSOCBEN"
"List Compensation Social Benefits","GUI","","","","","","/SAPCE/IUSOCBENREP"
"Post Granted Subsidies","GUI","","","","","","/SAPCE/IUSPOST"
"Create Subsidies","GUI","","","","","","/SAPCE/IUSREPORT"
"Maintain Weighting Keys for BBP","GUI","","","","","","/SAPCE/IUWK"
"Generate Meter Reading - Hungary","GUI","","","","","","/SAPCE/IU_BBHU01"
"Maintain Line Item Type - Hungary","GUI","","","","","","/SAPCE/IU_BBHU1100"
"Maintain Main Line Item Type - Hungary","GUI","","","","","","/SAPCE/IU_BBHU1101"
"Maintain Field Allocation - Hungary","GUI","","","","","","/SAPCE/IU_BBHU1102"
"Coll FICA Posting for Compensation - Hungary","GUI","","","","","","/SAPCE/IU_BBHU1103"
"Maintain Default Values for BB - Hungary","GUI","","","","","","/SAPCE/IU_BBHUD"
"Coll FICA Posting for Compensation - Hungary","GUI","","","","","","/SAPCE/IU_BBHUFICA"
"Maintain Intermediate Reading - Hungary","GUI","","","","","","/SAPCE/IU_BBHU_KMR"
"Estimate Next Period - Hungary","GUI","","","","","","/SAPCE/IU_CEBB01"
"Create Sales/Purchases Ledger - Russia","GUI","","","","","","/SAPCE/SPLEDGER"
"Equipment Settlement List","GUI","","","","","","/SAPCEM/ABRLISTE"
"Equipment Requisition Overview Change","GUI","","","","","","/SAPCEM/BD_CHNG"
"Equipment Requisition Overview Display","GUI","","","","","","/SAPCEM/BD_SHOW"
"Create Equipment Requisition note","GUI","","","","","","/SAPCEM/BEDARF01"
"Change Equipment Requisition note","GUI","","","","","","/SAPCEM/BEDARF02"
"Display Equipment Requisition note","GUI","","","","","","/SAPCEM/BEDARF03"
"Inventory Location Setup","GUI","","","","","","/SAPCEM/BESTAUF"
"Inventory Stock Control","GUI","","","","","","/SAPCEM/BESTKON"
"Equipment Usage Statement","GUI","","","","","","/SAPCEM/EINSAT"
"Settlement Calendard List","GUI","","","","","","/SAPCEM/EL"
"Release Performance Based Document","GUI","","","","","","/SAPCEM/FP_LGBELEG"
"Create Equipment Inventory","GUI","","","","","","/SAPCEM/INVENTUR01"
"Change Equipment Inventory","GUI","","","","","","/SAPCEM/INVENTUR02"
"Display Equipment Inventory","GUI","","","","","","/SAPCEM/INVENTUR03"
"Equipment Inventory: Compare Differences","GUI","","","","","","/SAPCEM/INV_ABGLEICH"
"Inventory: Stock in Inventory","GUI","","","","","","/SAPCEM/INV_AIB"
"Inventory: Reset Multipart Equi.","GUI","","","","","","/SAPCEM/INV_AUSBUM"
"Equipment Stock List","GUI","","","","","","/SAPCEM/INV_BEST"
"Equipment Inventory Check","GUI","","","","","","/SAPCEM/INV_CHECK"
"List Differences Equipment Inventory","GUI","","","","","","/SAPCEM/INV_DIFFLIST"
"Inventory: Quantity Determination","GUI","","","","","","/SAPCEM/INV_MENGE"
"Inventory: Items W/O Equi. Master","GUI","","","","","","/SAPCEM/INV_OHNEEQUI"
"Inventory: Reset Gen. Stock Diff.","GUI","","","","","","/SAPCEM/INV_RUECK"
"Show Total Equipment Cost","GUI","","","","","","/SAPCEM/MCI_TCO"
"Equipment Settlement","GUI","","","","","","/SAPCEM/MCT_1"
"Construction Site Stock Values","GUI","","","","","","/SAPCEM/MCT_2"
"List Material Catalog Assignments","GUI","","","","","","/SAPCEM/ML"
"Create Material Catalog Assignment","GUI","","","","","","/SAPCEM/MZ01"
"Change Material Catalog Assignment","GUI","","","","","","/SAPCEM/MZ02"
"Display Material Catalog Assignment","GUI","","","","","","/SAPCEM/MZ03"
"Delete Material Catalog Assignment","GUI","","","","","","/SAPCEM/MZ04"
"Price Information for Constr. Site","GUI","","","","","","/SAPCEM/PI_CSS"
"Recipient Equipment Price Information","GUI","","","","","","/SAPCEM/PRIR"
"Equipment Planning Board Change","GUI","","","","","","/SAPCEM/PT01"
"Equipment Planning Board Display","GUI","","","","","","/SAPCEM/PT02"
"Display Equipment Catalog, Display Catalog","GUI","","","","","","/SAPCEM/SCS"
"List of Shipping Documents","GUI","","","","","","/SAPCEM/SDL"
"Display Equipment Settlement Log","GUI","","","","","","/SAPCEM/SD_PROT"
"Show Equipment Bill of Material","GUI","","","","","","/SAPCEM/SHOW_BOM"
"Create Shipping document from Requirement","GUI","","","","","","/SAPCEM/VS_CREATE"
"Status Overview of Production Order - With Individual Batch Valuation","GUI","SAP_SCM_BC_PRODN_ORD_MP","","","","","/SAPMP/CMTSBV_STATUS"
"Returnable Packaging Settlement","GUI","SAP_LE_BC_PROC_MP","","","","","/SAPMP/LEIHG"
